ProviderKey,ProviderDurableKey,NPI,ProviderName,FirstName,LastName,Credentials,Gender,ProviderType,IsProviderActive,PrimarySpecialty,ProviderStatus,HireDate,TerminationDate,_IsCurrent,EffectiveDate,ExpirationDate
24,100024,1792877989,"Sofia Wilson, DO",Sofia,Wilson,DO,F,Physician,0,Cardiology,Terminated,2011-06-01,2013-08-22,1,2011-06-01,9999-12-31
25,100025,1644643265,"Henry Williams, MD",Henry,Williams,MD,M,Surgeon,1,Orthopedic Surgery,Active,2008-02-24,,1,2008-02-24,9999-12-31
26,100026,1578640632,"Thomas Graham, MD",Thomas,Graham,MD,M,Physician,1,Pediatrics,Active,2018-03-14,,1,2018-03-14,9999-12-31
27,100027,1247467312,"Ryder Turner, DO",Ryder,Turner,DO,M,Physician,1,Cardiology,Active,2015-07-29,,1,2015-07-29,9999-12-31
28,100028,1660260406,"Connie Fernandez, MD",Connie,Fernandez,MD,F,Surgeon,1,Urology,Active,2010-02-08,,1,2010-02-08,9999-12-31
29,100029,1688533689,"Jasmine Black, DO",Jasmine,Black,DO,F,Physician,1,Internal Medicine,Active,2018-08-16,,1,2018-08-16,9999-12-31
30,100030,1384924480,"Terry Gardner, MD",Terry,Gardner,MD,M,Physician,1,Family Medicine,Active,2015-11-05,,1,2015-11-05,9999-12-31
31,100031,1535157440,"Brittney Reynolds, DO",Brittney,Reynolds,DO,F,Physician,1,Internal Medicine,Active,2021-01-16,,1,2021-01-16,9999-12-31
32,100032,1254235341,"Tiffany Rose, DO",Tiffany,Rose,DO,F,Physician,1,Psychiatry,Active,2005-06-19,,1,2005-06-19,9999-12-31
33,100033,1986332397,"Helen Chapman, DO",Helen,Chapman,DO,F,Physician,1,OB/GYN,Active,2022-08-15,,1,2022-08-15,9999-12-31
34,100034,1327388544,"Kayla Reed, DO",Kayla,Reed,DO,F,Physician,1,Psychiatry,Active,2006-02-23,,1,2006-02-23,9999-12-31
35,100035,1733633124,"Ezra Rios, MD",Ezra,Rios,MD,M,Surgeon,1,General Surgery,Active,2008-01-07,,1,2008-01-07,9999-12-31
36,100036,1619442138,"Luke Le, DO",Luke,Le,DO,M,Physician,1,Endocrinology,Active,2012-08-02,,1,2012-08-02,9999-12-31
37,100037,1807507406,"Alyssa Fox, MD",Alyssa,Fox,MD,F,Physician,1,Internal Medicine,Active,2012-11-21,,1,2012-11-21,9999-12-31
38,100038,1217371714,"Timothy Dominguez, DO",Timothy,Dominguez,DO,M,Physician,1,Internal Medicine,Active,2021-01-20,,1,2021-01-20,9999-12-31
39,100039,1193934667,"Sean Henderson, MD",Sean,Henderson,MD,M,Physician,1,Radiology,Active,2007-04-07,,1,2007-04-07,9999-12-31
40,100040,1842035385,"Easton Thomas, MD",Easton,Thomas,MD,M,Physician,1,Family Medicine,Active,2014-09-06,,1,2014-09-06,9999-12-31
41,100041,1033085678,"Louise Crawford, MD",Louise,Crawford,MD,F,Physician,1,Endocrinology,Active,2007-06-08,,1,2007-06-08,9999-12-31
42,100042,1001401694,"Austin Watkins, NP",Austin,Watkins,NP,M,Advanced Practice Provider,1,Nurse Practitioner,Active,2012-08-04,,1,2012-08-04,9999-12-31
43,100043,1741631977,"Stephanie Hunter, DO",Stephanie,Hunter,DO,F,Physician,1,Psychiatry,Active,2010-02-14,,1,2010-02-14,9999-12-31
44,100044,1481796753,"Lucille Hawkins, DO",Lucille,Hawkins,DO,F,Physician,1,Internal Medicine,Active,2012-06-08,,1,2012-06-08,9999-12-31
45,100045,1283791645,"Carolyn Roberts, MD",Carolyn,Roberts,MD,F,Physician,1,Pulmonology,Active,2022-11-01,,1,2022-11-01,9999-12-31
46,100046,1068792086,"Danielle Woods, MD",Danielle,Woods,MD,F,Surgeon,1,General Surgery,Active,2015-07-30,,1,2015-07-30,9999-12-31
47,100047,1662351179,"Brody Simmons, MD",Brody,Simmons,MD,M,Physician,1,Family Medicine,Active,2018-05-25,,1,2018-05-25,9999-12-31
48,100048,1847761465,"Julie Russell, DO",Julie,Russell,DO,F,Physician,1,Pulmonology,Active,2022-11-04,,1,2022-11-04,9999-12-31
49,100049,1192013329,"Natalia Morrison, DO",Natalia,Morrison,DO,F,Physician,1,Emergency Medicine,Active,2007-11-26,,1,2007-11-26,9999-12-31
50,100050,1215462569,"Molly Guerrero, MD",Molly,Guerrero,MD,F,Surgeon,1,Urology,Active,2015-07-24,,1,2015-07-24,9999-12-31
51,100051,1855272927,"Willow Kelly, DO",Willow,Kelly,DO,F,Physician,1,Radiology,Active,2017-02-16,,1,2017-02-16,9999-12-31
52,100052,1134931928,"Christopher Kim, MD",Christopher,Kim,MD,M,Physician,1,Internal Medicine,Active,2023-05-31,,1,2023-05-31,9999-12-31
53,100053,1902062054,"Jean Holmes, NP",Jean,Holmes,NP,F,Advanced Practice Provider,1,Nurse Practitioner,Active,2019-07-18,,1,2019-07-18,9999-12-31
54,100054,1358330517,"Emmett Walker, DO",Emmett,Walker,DO,M,Physician,1,Emergency Medicine,Active,2005-07-15,,1,2005-07-15,9999-12-31
55,100055,1605284904,"Raymond Meyer, MD",Raymond,Meyer,MD,M,Physician,1,Internal Medicine,Active,2022-10-14,,1,2022-10-14,9999-12-31
56,100056,1869486302,"Janice Hayes, DO",Janice,Hayes,DO,F,Physician,1,Gastroenterology,Active,2007-08-01,,1,2007-08-01,9999-12-31
57,100057,1836674752,"Kelsey Li, MD",Kelsey,Li,MD,F,Physician,1,Internal Medicine,Active,2012-04-03,,1,2012-04-03,9999-12-31
58,100058,1681007730,"Theodore Tucker, DO",Theodore,Tucker,DO,M,Physician,1,Cardiology,Active,2018-05-28,,1,2018-05-28,9999-12-31
59,100059,1443187595,"Carson Nelson, PA",Carson,Nelson,PA,M,Advanced Practice Provider,1,Physician Assistant,Active,2007-05-11,,1,2007-05-11,9999-12-31
60,100060,1463255124,"Nolan Hicks, MD",Nolan,Hicks,MD,M,Physician,1,OB/GYN,Active,2021-07-28,,1,2021-07-28,9999-12-31
61,100061,1093700540,"Aaron Cole, MD",Aaron,Cole,MD,M,Physician,1,Pulmonology,Active,2020-04-03,,1,2020-04-03,9999-12-31
62,100062,1227854384,"Bobby Collins, DO",Bobby,Collins,DO,M,Physician,1,Anesthesiology,Active,2006-02-12,,1,2006-02-12,9999-12-31
63,100063,1687745555,"Wesley Vazquez, MD",Wesley,Vazquez,MD,M,Physician,1,Pediatrics,Active,2012-09-04,,1,2012-09-04,9999-12-31
64,100064,1958227332,"Jennifer Adams, DO",Jennifer,Adams,DO,F,Surgeon,1,Orthopedic Surgery,Active,2016-09-28,,1,2016-09-28,9999-12-31
65,100065,1846164790,"Crystal Bennett, DO",Crystal,Bennett,DO,F,Physician,1,Emergency Medicine,Active,2013-02-02,,1,2013-02-02,9999-12-31
66,100066,1250700951,"River Butler, DO",River,Butler,DO,M,Physician,0,Cardiology,Terminated,2007-01-08,2015-02-05,1,2007-01-08,9999-12-31
67,100067,1235643395,"Penelope Powell, DO",Penelope,Powell,DO,F,Physician,1,Emergency Medicine,Active,2019-01-23,,1,2019-01-23,9999-12-31
68,100068,1694580087,"Gabriel Castillo, MD",Gabriel,Castillo,MD,M,Physician,1,Internal Medicine,Active,2018-05-17,,1,2018-05-17,9999-12-31
69,100069,1700011372,"Cheryl Maldonado, MD",Cheryl,Maldonado,MD,F,Physician,1,Family Medicine,Active,2005-11-15,,1,2005-11-15,9999-12-31
70,100070,1683114610,"Barbara Nguyen, DO",Barbara,Nguyen,DO,F,Physician,1,Dermatology,Active,2007-07-06,,1,2007-07-06,9999-12-31
71,100071,1001486421,"Damian Rodriguez, MD",Damian,Rodriguez,MD,M,Surgeon,1,Orthopedic Surgery,Active,2017-09-05,,1,2017-09-05,9999-12-31
72,100072,1045883636,"Phyllis Gordon, MD",Phyllis,Gordon,MD,F,Physician,1,Family Medicine,Active,2007-07-15,,1,2007-07-15,9999-12-31
73,100073,1982586848,"Laura Ortiz, DO",Laura,Ortiz,DO,F,Physician,1,Internal Medicine,Active,2015-02-16,,1,2015-02-16,9999-12-31
74,100074,1380416361,"Andrea Montgomery, DO",Andrea,Montgomery,DO,F,Physician,1,Internal Medicine,Active,2009-06-23,,1,2009-06-23,9999-12-31
75,100075,1510007656,"Wendy Ramirez, MD",Wendy,Ramirez,MD,F,Physician,1,Internal Medicine,Active,2011-06-16,,1,2011-06-16,9999-12-31
76,100076,1043753033,"Maddox Rogers, MD",Maddox,Rogers,MD,M,Physician,1,Pediatrics,Active,2005-07-03,,1,2005-07-03,9999-12-31
77,100077,1948178241,"Shirley Hernandes, MD",Shirley,Hernandes,MD,F,Physician,1,Psychiatry,Active,2009-02-18,,1,2009-02-18,9999-12-31
78,100078,1468925546,"Lincoln Figueroa, MD",Lincoln,Figueroa,MD,M,Physician,1,OB/GYN,Active,2011-04-12,,1,2011-04-12,9999-12-31
79,100079,1779282278,"Colton Johnston, DO",Colton,Johnston,DO,M,Physician,1,Cardiology,Active,2012-02-11,,1,2012-02-11,9999-12-31
80,100080,1981838197,"Ashton Fisher, DO",Ashton,Fisher,DO,M,Physician,1,Internal Medicine,Active,2008-07-31,,1,2008-07-31,9999-12-31
81,100081,1318275184,"Vincent Armstrong, DO",Vincent,Armstrong,DO,M,Physician,1,Internal Medicine,Active,2022-12-19,,1,2022-12-19,9999-12-31
82,100082,1649076575,"Alice Bishop, PA",Alice,Bishop,PA,F,Advanced Practice Provider,1,Physician Assistant,Active,2013-11-06,,1,2013-11-06,9999-12-31
83,100083,1337917647,"Bella Carlson, DO",Bella,Carlson,DO,F,Surgeon,1,General Surgery,Active,2018-06-30,,1,2018-06-30,9999-12-31
84,100084,1082610390,"Zachary Tran, MD",Zachary,Tran,MD,M,Physician,1,Cardiology,Active,2018-06-15,,1,2018-06-15,9999-12-31
85,100085,1855051176,"Kevin Jordan, MD",Kevin,Jordan,MD,M,Physician,1,Psychiatry,Active,2022-06-10,,1,2022-06-10,9999-12-31
86,100086,1254331426,"Nina Richardson, DO",Nina,Richardson,DO,F,Physician,1,Emergency Medicine,Active,2022-05-21,,1,2022-05-21,9999-12-31
87,100087,1983367766,"Samuel Peters, MD",Samuel,Peters,MD,M,Physician,1,Internal Medicine,Active,2020-04-19,,1,2020-04-19,9999-12-31
88,100088,1043555478,"Patrick Larson, MD",Patrick,Larson,MD,M,Physician,1,Emergency Medicine,Active,2016-01-08,,1,2016-01-08,9999-12-31
89,100089,1000253227,"Ann White, DO",Ann,White,DO,F,Physician,1,Internal Medicine,Active,2020-11-20,,1,2020-11-20,9999-12-31
90,100090,1508015832,"Scott Moore, MD",Scott,Moore,MD,M,Physician,1,Oncology,Active,2017-01-01,,1,2017-01-01,9999-12-31
91,100091,1468473982,"Frank Soto, PA",Frank,Soto,PA,M,Advanced Practice Provider,1,Physician Assistant,Active,2006-12-25,,1,2006-12-25,9999-12-31
92,100092,1596672532,"Jace Espinoza, DO",Jace,Espinoza,DO,M,Physician,1,Family Medicine,Active,2013-09-30,,1,2013-09-30,9999-12-31
93,100093,1236092471,"Keith Hall, DO",Keith,Hall,DO,M,Physician,0,Neurology,Terminated,2011-02-11,2015-11-14,1,2011-02-11,9999-12-31
94,100094,1647743853,"Hugo Arnold, MD",Hugo,Arnold,MD,M,Surgeon,0,General Surgery,Terminated,2023-03-06,2028-06-04,1,2023-03-06,9999-12-31
95,100095,1832777308,"Russell Mendez, MD",Russell,Mendez,MD,M,Physician,1,Family Medicine,Active,2012-06-23,,1,2012-06-23,9999-12-31
96,100096,1758630326,"Kristen Bell, DO",Kristen,Bell,DO,F,Physician,1,Anesthesiology,Active,2019-02-25,,1,2019-02-25,9999-12-31
97,100097,1296589036,"Jenna Carter, DO",Jenna,Carter,DO,F,Physician,1,Internal Medicine,Active,2012-11-17,,1,2012-11-17,9999-12-31
98,100098,1743271491,"Gage Anderson, MD",Gage,Anderson,MD,M,Physician,1,Internal Medicine,Active,2021-06-01,,1,2021-06-01,9999-12-31
99,100099,1458648911,"Elena Hoffman, DO",Elena,Hoffman,DO,F,Physician,0,Pulmonology,Terminated,2005-01-23,2011-06-23,1,2005-01-23,9999-12-31
100,100100,1952320883,"Lauren Alvarado, MD",Lauren,Alvarado,MD,F,Physician,1,Psychiatry,Active,2008-05-23,,1,2008-05-23,9999-12-31
101,100101,1901348499,"Chelsea Rivera, DO",Chelsea,Rivera,DO,F,Surgeon,1,Orthopedic Surgery,Active,2012-03-20,,1,2012-03-20,9999-12-31
102,100102,1603799466,"Tina Riley, DO",Tina,Riley,DO,F,Surgeon,1,General Surgery,Active,2011-04-03,,1,2011-04-03,9999-12-31
103,100103,1253123539,"Stephen Murphy, DO",Stephen,Murphy,DO,M,Physician,1,OB/GYN,Active,2014-05-31,,1,2014-05-31,9999-12-31
104,100104,1614740214,"John Morris, DO",John,Morris,DO,M,Physician,1,Family Medicine,Active,2020-08-16,,1,2020-08-16,9999-12-31
105,100105,1192022716,"Mariah Murray, NP",Mariah,Murray,NP,F,Advanced Practice Provider,1,Nurse Practitioner,Active,2005-07-29,,1,2005-07-29,9999-12-31
106,100106,1864400337,"Marcus Howard, MD",Marcus,Howard,MD,M,Physician,1,Emergency Medicine,Active,2023-04-22,,1,2023-04-22,9999-12-31
107,100107,1059958896,"Ivy James, DO",Ivy,James,DO,F,Physician,0,Internal Medicine,Terminated,2005-02-05,2009-07-14,1,2005-02-05,9999-12-31
108,100108,1292521328,"Kelly Diaz, MD",Kelly,Diaz,MD,F,Surgeon,1,Orthopedic Surgery,Active,2017-08-22,,1,2017-08-22,9999-12-31
109,100109,1715747502,"Matthew Miller, MD",Matthew,Miller,MD,M,Physician,1,Family Medicine,Active,2005-09-01,,1,2005-09-01,9999-12-31
110,100110,1160926082,"Lori Lawrence, MD",Lori,Lawrence,MD,F,Physician,1,Pulmonology,Active,2008-03-22,,1,2008-03-22,9999-12-31
111,100111,1798179811,"Mark Thompson, DO",Mark,Thompson,DO,M,Physician,1,Internal Medicine,Active,2020-02-22,,1,2020-02-22,9999-12-31
112,100112,1988098297,"Daniel Cook, MD",Daniel,Cook,MD,M,Surgeon,1,Orthopedic Surgery,Active,2005-01-06,,1,2005-01-06,9999-12-31
113,100113,1238985142,"Ryan Long, MD",Ryan,Long,MD,M,Physician,1,Oncology,Active,2010-06-05,,1,2010-06-05,9999-12-31
114,100114,1387601253,"Dawn Munoz, DO",Dawn,Munoz,DO,F,Physician,1,Psychiatry,Active,2022-05-09,,1,2022-05-09,9999-12-31
115,100115,1128119945,"Vivian Delgado, MD",Vivian,Delgado,MD,F,Physician,1,Anesthesiology,Active,2017-03-08,,1,2017-03-08,9999-12-31
116,100116,1972470993,"Bailey Brown, DO",Bailey,Brown,DO,F,Physician,1,Cardiology,Active,2014-12-25,,1,2014-12-25,9999-12-31
117,100117,1852027042,"Hazel Morales, DO",Hazel,Morales,DO,F,Physician,1,Pulmonology,Active,2013-01-21,,1,2013-01-21,9999-12-31
118,100118,1402400713,"Cole Snyder, DO",Cole,Snyder,DO,M,Physician,1,Family Medicine,Active,2007-01-31,,1,2007-01-31,9999-12-31
119,100119,1673499565,"Jordan Elliott, MD",Jordan,Elliott,MD,M,Physician,1,Pediatrics,Active,2015-05-18,,1,2015-05-18,9999-12-31
120,100120,1142984605,"Audrey Warren, MD",Audrey,Warren,MD,F,Physician,1,Family Medicine,Active,2010-09-03,,1,2010-09-03,9999-12-31
121,100121,1275444938,"Joyce Herrera, MD",Joyce,Herrera,MD,F,Physician,1,Neurology,Active,2005-06-07,,1,2005-06-07,9999-12-31
122,100122,1733249777,"Randy Howell, DO",Randy,Howell,DO,M,Physician,1,Family Medicine,Active,2017-05-17,,1,2017-05-17,9999-12-31
123,100123,1245266913,"Cindy Davis, MD",Cindy,Davis,MD,F,Physician,1,OB/GYN,Active,2008-07-15,,1,2008-07-15,9999-12-31
124,100124,1105400928,"Emma Hamilton, DO",Emma,Hamilton,DO,F,Physician,1,Emergency Medicine,Active,2021-08-23,,1,2021-08-23,9999-12-31
125,100125,1875832191,"Olivia Vasquez, MD",Olivia,Vasquez,MD,F,Physician,0,Internal Medicine,Terminated,2011-10-16,2018-09-22,1,2011-10-16,9999-12-31
126,100126,1317883402,"Ralph Harper, DO",Ralph,Harper,DO,M,Physician,1,Pulmonology,Active,2005-03-31,,1,2005-03-31,9999-12-31
127,100127,1309658283,"Leilani Ortega, DO",Leilani,Ortega,DO,F,Physician,1,Internal Medicine,Active,2013-12-15,,1,2013-12-15,9999-12-31
128,100128,1401069628,"Kaden Parker, DO",Kaden,Parker,DO,M,Physician,1,Family Medicine,Active,2007-09-12,,1,2007-09-12,9999-12-31
129,100129,1615719205,"Nancy Shaw, DO",Nancy,Shaw,DO,F,Physician,1,Oncology,Active,2008-05-05,,1,2008-05-05,9999-12-31
130,100130,1216520561,"Catherine Perkins, DO",Catherine,Perkins,DO,F,Physician,0,Pediatrics,Terminated,2020-09-26,2022-03-09,1,2020-09-26,9999-12-31
131,100131,1077292351,"Amanda Gutierrez, MD",Amanda,Gutierrez,MD,F,Physician,1,Family Medicine,Active,2014-10-03,,1,2014-10-03,9999-12-31
132,100132,1612979083,"Adam Pierce, MD",Adam,Pierce,MD,M,Physician,1,Internal Medicine,Active,2019-05-22,,1,2019-05-22,9999-12-31
133,100133,1366668931,"Gloria Lawson, MD",Gloria,Lawson,MD,F,Physician,0,Cardiology,Terminated,2019-06-06,2028-07-29,1,2019-06-06,9999-12-31
134,100134,1844383679,"Leo Ferguson, DO",Leo,Ferguson,DO,M,Physician,1,Cardiology,Active,2008-05-29,,1,2008-05-29,9999-12-31
135,100135,1968300716,"Laurie Lee, MD",Laurie,Lee,MD,F,Physician,1,Cardiology,Active,2019-03-19,,1,2019-03-19,9999-12-31
136,100136,1893417271,"William Evans, DO",William,Evans,DO,M,Surgeon,1,General Surgery,Active,2020-04-12,,1,2020-04-12,9999-12-31
137,100137,1040925942,"Roger Garza, DO",Roger,Garza,DO,M,Surgeon,1,Orthopedic Surgery,Active,2022-01-04,,1,2022-01-04,9999-12-31
138,100138,1343647810,"Christian Edwards, DO",Christian,Edwards,DO,M,Physician,0,Emergency Medicine,Terminated,2012-01-27,2018-06-10,1,2012-01-27,9999-12-31
139,100139,1208626028,"Wesley Hansen, MD",Wesley,Hansen,MD,M,Physician,1,Anesthesiology,Active,2011-05-11,,1,2011-05-11,9999-12-31
140,100140,1415300663,"Bentley Hudson, MD",Bentley,Hudson,MD,M,Physician,1,Internal Medicine,Active,2009-04-12,,1,2009-04-12,9999-12-31
141,100141,1410185738,"Gregory Gilbert, MD",Gregory,Gilbert,MD,M,Physician,1,Psychiatry,Active,2007-10-17,,1,2007-10-17,9999-12-31
142,100142,1734634988,"Carol Carroll, DO",Carol,Carroll,DO,F,Physician,1,Emergency Medicine,Active,2008-08-15,,1,2008-08-15,9999-12-31
143,100143,1165945899,"Avery Daniels, MD",Avery,Daniels,MD,F,Physician,1,Internal Medicine,Active,2021-03-12,,1,2021-03-12,9999-12-31
144,100144,1818009027,"Isabella Chambers, MD",Isabella,Chambers,MD,F,Physician,1,Family Medicine,Active,2005-06-08,,1,2005-06-08,9999-12-31
145,100145,1366517248,"Peter Johnson, DO",Peter,Johnson,DO,M,Physician,1,Internal Medicine,Active,2016-11-25,,1,2016-11-25,9999-12-31
146,100146,1382013178,"Alexa Taylor, MD",Alexa,Taylor,MD,F,Physician,1,Radiology,Active,2020-08-17,,1,2020-08-17,9999-12-31
147,100147,1413891671,"Erin Sanchez, MD",Erin,Sanchez,MD,F,Physician,1,OB/GYN,Active,2015-07-11,,1,2015-07-11,9999-12-31
148,100148,1860950657,"Ryker Torres, DO",Ryker,Torres,DO,M,Physician,1,Neurology,Active,2019-08-28,,1,2019-08-28,9999-12-31
149,100149,1456084228,"Everly Brooks, MD",Everly,Brooks,MD,F,Surgeon,1,Orthopedic Surgery,Active,2022-08-05,,1,2022-08-05,9999-12-31
150,100150,1482025054,"Katelyn Dunn, DO",Katelyn,Dunn,DO,F,Surgeon,1,General Surgery,Active,2018-07-22,,1,2018-07-22,9999-12-31
151,100151,1213711100,"Andrew Stevens, MD",Andrew,Stevens,MD,M,Physician,1,Neurology,Active,2010-04-17,,1,2010-04-17,9999-12-31
152,100152,1106582706,"Anna Parsons, MD",Anna,Parsons,MD,F,Physician,1,Family Medicine,Active,2019-05-26,,1,2019-05-26,9999-12-31
153,100153,1046831535,"Hayden Wells, DO",Hayden,Wells,DO,M,Physician,1,Radiology,Active,2018-01-14,,1,2018-01-14,9999-12-31
154,100154,1900990089,"Reagan Guzman, MD",Reagan,Guzman,MD,F,Surgeon,1,Orthopedic Surgery,Active,2011-12-29,,1,2011-12-29,9999-12-31
155,100155,1998957249,"Jamie Olson, MD",Jamie,Olson,MD,F,Physician,1,Anesthesiology,Active,2011-02-05,,1,2011-02-05,9999-12-31
156,100156,1492990022,"Kylie Lewis, MD",Kylie,Lewis,MD,F,Physician,1,Emergency Medicine,Active,2020-08-06,,1,2020-08-06,9999-12-31
157,100157,1535330900,"Emilia Zimmerman, DO",Emilia,Zimmerman,DO,F,Physician,1,Pulmonology,Active,2005-09-16,,1,2005-09-16,9999-12-31
158,100158,1723416756,"James Ray, NP",James,Ray,NP,M,Advanced Practice Provider,1,Nurse Practitioner,Active,2021-11-16,,1,2021-11-16,9999-12-31
159,100159,1663528907,"Violet Ross, MD",Violet,Ross,MD,F,Physician,1,Radiology,Active,2018-01-23,,1,2018-01-23,9999-12-31
160,100160,1986968338,"Cameron Alexander, MD",Cameron,Alexander,MD,M,Physician,1,Emergency Medicine,Active,2006-08-15,,1,2006-08-15,9999-12-31
161,100161,1580297254,"Holly Moreno, MD",Holly,Moreno,MD,F,Physician,0,Cardiology,Terminated,2018-05-17,2020-01-21,1,2018-05-17,9999-12-31
162,100162,1083391122,"Anthony Duncan, NP",Anthony,Duncan,NP,M,Advanced Practice Provider,0,Nurse Practitioner,Terminated,2013-03-30,2015-12-08,1,2013-03-30,9999-12-31
163,100163,1408698638,"Tucker King, DO",Tucker,King,DO,M,Physician,1,Neurology,Active,2016-03-27,,1,2016-03-27,9999-12-31
164,100164,1781595923,"Landon Marshall, MD",Landon,Marshall,MD,M,Physician,1,Psychiatry,Active,2021-04-12,,1,2021-04-12,9999-12-31
165,100165,1058431374,"Mia Stone, DO",Mia,Stone,DO,F,Physician,1,Nephrology,Active,2009-05-14,,1,2009-05-14,9999-12-31
166,100166,1905288599,"Leslie Sullivan, DO",Leslie,Sullivan,DO,F,Physician,1,Internal Medicine,Active,2008-07-04,,1,2008-07-04,9999-12-31
167,100167,1177703408,"Georgia Mendoza, DO",Georgia,Mendoza,DO,F,Physician,1,Gastroenterology,Active,2010-05-31,,1,2010-05-31,9999-12-31
168,100168,1084639184,"Meredith Newman, DO",Meredith,Newman,DO,F,Physician,1,Family Medicine,Active,2010-04-20,,1,2010-04-20,9999-12-31
169,100169,1446327530,"Michelle Allen, MD",Michelle,Allen,MD,F,Physician,1,Internal Medicine,Active,2017-09-22,,1,2017-09-22,9999-12-31
170,100170,1021064800,"Judith Mitchell, NP",Judith,Mitchell,NP,F,Advanced Practice Provider,1,Nurse Practitioner,Active,2010-02-25,,1,2010-02-25,9999-12-31
171,100171,1115080300,"Grayson Owens, MD",Grayson,Owens,MD,M,Physician,1,Internal Medicine,Active,2021-09-17,,1,2021-09-17,9999-12-31
172,100172,1089770058,"Kennedy Jacobs, PA",Kennedy,Jacobs,PA,F,Advanced Practice Provider,1,Physician Assistant,Active,2015-09-23,,1,2015-09-23,9999-12-31
173,100173,1422551498,"Abigail Weaver, DO",Abigail,Weaver,DO,F,Physician,1,Endocrinology,Active,2022-06-23,,1,2022-06-23,9999-12-31
174,100174,1882352940,"Harrison Hale, DO",Harrison,Hale,DO,M,Physician,1,Dermatology,Active,2019-07-16,,1,2019-07-16,9999-12-31
175,100175,1807986458,"Anita Ramos, DO",Anita,Ramos,DO,F,Physician,1,Family Medicine,Active,2023-02-28,,1,2023-02-28,9999-12-31
