ProviderCredentialKey,ProviderKey,ProviderDurableKey,LicenseNumber,LicenseState,DEANumber,BoardCertification,LicenseExpirationDate,DEAExpirationDate,BoardCertExpirationDate,_IsCurrent,EffectiveDate,ExpirationDate
106,106,100106,CO806813,CO,TH7773041,American Board of Emergency Medicine,2027-07-30,2028-11-03,2029-11-23,1,2023-04-22,9999-12-31
107,107,100107,TX481711,TX,TJ8524911,American Board of Internal Medicine,2026-12-24,2029-02-17,2032-10-15,1,2005-02-05,9999-12-31
108,108,100108,CO542689,CO,UD3238969,American Board of Orthopaedic Surgery,2028-06-15,2027-05-13,2032-08-31,1,2017-08-22,9999-12-31
109,109,100109,CO774602,CO,XM9201560,American Board of Family Medicine,2028-05-02,2029-03-03,2031-10-14,1,2005-09-01,9999-12-31
110,110,100110,AZ498733,AZ,SL8358132,ABIM - Pulmonary Disease,2028-10-07,2026-10-09,2035-03-05,1,2008-03-22,9999-12-31
111,111,100111,MN847407,MN,MT7721384,American Board of Internal Medicine,2026-11-28,2027-08-10,2030-01-04,1,2020-02-22,9999-12-31
112,112,100112,NC241510,NC,RC9925635,American Board of Orthopaedic Surgery,2027-07-12,2027-03-06,2028-09-17,1,2005-01-06,9999-12-31
113,113,100113,CO960902,CO,PL4594501,ABIM - Medical Oncology,2027-01-20,2029-01-07,2028-09-14,1,2010-06-05,9999-12-31
114,114,100114,FL386154,FL,FM4542988,ABPN - Psychiatry,2027-06-06,2026-12-19,2032-09-04,1,2022-05-09,9999-12-31
115,115,100115,CA890766,CA,TD6723101,American Board of Anesthesiology,2028-11-14,2026-07-12,2029-06-05,1,2017-03-08,9999-12-31
116,116,100116,MA611904,MA,SB1533433,ABIM - Cardiovascular Disease,2028-10-03,2027-08-26,2034-07-05,1,2014-12-25,9999-12-31
117,117,100117,MA765638,MA,FM3695580,ABIM - Pulmonary Disease,2029-04-26,2029-02-08,2027-10-12,1,2013-01-21,9999-12-31
118,118,100118,FL141722,FL,RS7360480,American Board of Family Medicine,2026-11-17,2028-05-10,2032-01-24,1,2007-01-31,9999-12-31
119,119,100119,IL824667,IL,AE9899356,American Board of Pediatrics,2028-01-17,2027-03-15,2030-07-22,1,2015-05-18,9999-12-31
120,120,100120,MN128099,MN,TW3029677,American Board of Family Medicine,2028-08-25,2028-11-20,2033-04-05,1,2010-09-03,9999-12-31
121,121,100121,TX335721,TX,TH5592020,ABPN - Neurology,2028-04-05,2028-10-14,2027-08-08,1,2005-06-07,9999-12-31
122,122,100122,MA299511,MA,FH8553880,American Board of Family Medicine,2029-02-17,2026-08-27,2034-01-10,1,2017-05-17,9999-12-31
123,123,100123,TX607857,TX,FD1917393,American Board of Obstetrics and Gynecology,2027-07-03,2027-08-21,2031-01-28,1,2008-07-15,9999-12-31
124,124,100124,GA165905,GA,XH7851564,American Board of Emergency Medicine,2027-01-01,2026-12-23,2029-08-20,1,2021-08-23,9999-12-31
125,125,100125,CO429413,CO,PV7232882,American Board of Internal Medicine,2027-04-27,2028-03-14,2029-09-30,1,2011-10-16,9999-12-31
126,126,100126,IL844424,IL,AH2086558,ABIM - Pulmonary Disease,2027-01-09,2026-09-10,2027-08-06,1,2005-03-31,9999-12-31
127,127,100127,IL679518,IL,SO7109149,American Board of Internal Medicine,2028-02-20,2028-01-13,2033-11-10,1,2013-12-15,9999-12-31
128,128,100128,AZ521663,AZ,PP7042968,American Board of Family Medicine,2029-01-29,2029-03-21,2030-03-21,1,2007-09-12,9999-12-31
129,129,100129,AZ285963,AZ,SS8898760,ABIM - Medical Oncology,2026-07-22,2027-03-31,2031-11-24,1,2008-05-05,9999-12-31
130,130,100130,AZ440025,AZ,RP8473232,American Board of Pediatrics,2027-01-24,2026-11-09,2030-10-10,1,2020-09-26,9999-12-31
131,131,100131,IL325062,IL,GG4858106,American Board of Family Medicine,2029-05-27,2027-05-24,2033-03-06,1,2014-10-03,9999-12-31
132,132,100132,FL176323,FL,RP6852798,American Board of Internal Medicine,2028-04-08,2026-08-24,2031-02-06,1,2019-05-22,9999-12-31
133,133,100133,TX366947,TX,PL4382538,ABIM - Cardiovascular Disease,2026-07-16,2028-04-17,2029-02-17,1,2019-06-06,9999-12-31
134,134,100134,AZ506790,AZ,MF3250913,ABIM - Cardiovascular Disease,2027-03-20,2028-04-21,2029-01-16,1,2008-05-29,9999-12-31
135,135,100135,WA867199,WA,UL8326699,ABIM - Cardiovascular Disease,2026-10-16,2026-09-08,2035-07-09,1,2019-03-19,9999-12-31
136,136,100136,PA601348,PA,PE7520146,American Board of Surgery,2029-05-31,2028-08-29,2034-05-02,1,2020-04-12,9999-12-31
137,137,100137,CA447525,CA,SG8702656,American Board of Orthopaedic Surgery,2027-05-21,2026-09-16,2029-03-13,1,2022-01-04,9999-12-31
138,138,100138,GA217246,GA,GE3811928,American Board of Emergency Medicine,2029-02-22,2028-04-25,2029-11-14,1,2012-01-27,9999-12-31
139,139,100139,CO597160,CO,BH6814426,American Board of Anesthesiology,2028-07-24,2028-03-01,2034-02-04,1,2011-05-11,9999-12-31
140,140,100140,FL970544,FL,MH6101034,American Board of Internal Medicine,2026-11-23,2029-05-07,2031-06-16,1,2009-04-12,9999-12-31
141,141,100141,OH604996,OH,TG3812397,ABPN - Psychiatry,2028-06-02,2026-08-05,2033-05-10,1,2007-10-17,9999-12-31
142,142,100142,NY203206,NY,XC9189527,American Board of Emergency Medicine,2027-02-16,2028-05-28,2034-09-18,1,2008-08-15,9999-12-31
143,143,100143,PA242680,PA,AD3052619,American Board of Internal Medicine,2026-08-14,2026-11-08,2028-08-20,1,2021-03-12,9999-12-31
144,144,100144,GA778319,GA,TC1276360,American Board of Family Medicine,2028-03-24,2028-04-26,2030-12-24,1,2005-06-08,9999-12-31
145,145,100145,IL827112,IL,SJ2336682,American Board of Internal Medicine,2027-07-07,2026-10-03,2032-07-15,1,2016-11-25,9999-12-31
146,146,100146,FL505713,FL,ST1606230,American Board of Radiology,2027-08-09,2029-03-23,2027-09-02,1,2020-08-17,9999-12-31
147,147,100147,FL170360,FL,RS8191760,American Board of Obstetrics and Gynecology,2029-01-04,2028-12-26,2030-12-28,1,2015-07-11,9999-12-31
148,148,100148,CO589034,CO,GT6888126,ABPN - Neurology,2028-09-07,2027-12-29,2031-01-29,1,2019-08-28,9999-12-31
149,149,100149,TX922229,TX,XB1503099,American Board of Orthopaedic Surgery,2026-09-27,2028-09-18,2033-10-27,1,2022-08-05,9999-12-31
150,150,100150,PA884691,PA,UD9769432,American Board of Surgery,2027-11-20,2027-06-15,2029-06-21,1,2018-07-22,9999-12-31
151,151,100151,GA300906,GA,GS5703418,ABPN - Neurology,2028-12-25,2029-01-30,2032-07-03,1,2010-04-17,9999-12-31
152,152,100152,CO333703,CO,UP1467879,American Board of Family Medicine,2027-06-18,2027-05-02,2030-02-15,1,2019-05-26,9999-12-31
153,153,100153,IL810933,IL,GW6922291,American Board of Radiology,2028-09-14,2028-12-16,2029-03-13,1,2018-01-14,9999-12-31
154,154,100154,NC410073,NC,RG8027619,American Board of Orthopaedic Surgery,2029-01-05,2028-11-14,2031-10-22,1,2011-12-29,9999-12-31
155,155,100155,PA585408,PA,FO6766239,American Board of Anesthesiology,2027-03-12,2028-03-07,2027-07-15,1,2011-02-05,9999-12-31
156,156,100156,FL917428,FL,XL5585647,American Board of Emergency Medicine,2027-09-21,2028-01-19,2034-03-02,1,2020-08-06,9999-12-31
157,157,100157,MA123719,MA,PZ2884281,ABIM - Pulmonary Disease,2026-10-11,2026-08-11,2027-11-16,1,2005-09-16,9999-12-31
158,158,100158,CO854383,CO,PR3074952,AANP Certification,2027-04-20,2028-12-26,2031-04-28,1,2021-11-16,9999-12-31
159,159,100159,CA584046,CA,UR7038249,American Board of Radiology,2027-05-05,2028-08-30,2028-06-25,1,2018-01-23,9999-12-31
160,160,100160,CA938654,CA,TA3165192,American Board of Emergency Medicine,2029-01-20,2026-10-19,2035-01-27,1,2006-08-15,9999-12-31
161,161,100161,TX556729,TX,UM2843635,ABIM - Cardiovascular Disease,2027-01-08,2027-03-13,2029-02-25,1,2018-05-17,9999-12-31
162,162,100162,PA382573,PA,TD3632520,AANP Certification,2027-04-06,2026-10-01,2033-06-07,1,2013-03-30,9999-12-31
163,163,100163,MA133319,MA,AK8993104,ABPN - Neurology,2029-05-10,2026-11-16,2029-12-06,1,2016-03-27,9999-12-31
164,164,100164,CA318890,CA,PM3191861,ABPN - Psychiatry,2026-12-15,2028-03-26,2029-01-07,1,2021-04-12,9999-12-31
165,165,100165,IL128196,IL,SS1826529,ABIM - Nephrology,2028-08-07,2027-07-25,2035-06-09,1,2009-05-14,9999-12-31
166,166,100166,CA941698,CA,PS4652920,American Board of Internal Medicine,2027-07-06,2028-10-27,2033-09-29,1,2008-07-04,9999-12-31
167,167,100167,IL699804,IL,FM4122174,ABIM - Gastroenterology,2029-06-29,2028-05-07,2034-04-06,1,2010-05-31,9999-12-31
168,168,100168,WA222460,WA,GN3753375,American Board of Family Medicine,2027-07-01,2027-12-05,2033-07-10,1,2010-04-20,9999-12-31
169,169,100169,WA497729,WA,MA4023534,American Board of Internal Medicine,2026-10-18,2026-09-09,2035-06-09,1,2017-09-22,9999-12-31
170,170,100170,AZ298992,AZ,FM1149625,AANP Certification,2028-11-26,2027-06-10,2028-07-09,1,2010-02-25,9999-12-31
171,171,100171,IL742360,IL,GO7095989,American Board of Internal Medicine,2026-10-10,2028-07-30,2032-05-24,1,2021-09-17,9999-12-31
172,172,100172,FL403540,FL,UJ4761907,NCCPA Certification,2027-09-18,2027-09-30,2031-08-02,1,2015-09-23,9999-12-31
173,173,100173,NY532564,NY,PW3203221,ABIM - Endocrinology,2028-12-05,2027-12-05,2029-08-05,1,2022-06-23,9999-12-31
174,174,100174,CO617894,CO,SH4045287,American Board of Dermatology,2029-05-07,2027-05-26,2028-10-15,1,2019-07-16,9999-12-31
175,175,100175,WA742168,WA,UR6534820,American Board of Family Medicine,2028-08-09,2028-08-16,2036-02-21,1,2023-02-28,9999-12-31
176,176,100176,IL778213,IL,RK6289354,American Board of Obstetrics and Gynecology,2028-11-15,2027-03-16,2027-10-08,1,2010-09-24,9999-12-31
177,177,100177,MA941555,MA,TP2517628,American Board of Emergency Medicine,2027-07-29,2029-02-13,2028-10-31,1,2009-01-04,9999-12-31
178,178,100178,MA508821,MA,SR4444948,American Board of Internal Medicine,2027-06-20,2027-03-28,2027-08-01,1,2005-07-11,9999-12-31
179,179,100179,CO831896,CO,PS1677293,American Board of Anesthesiology,2028-01-19,2029-05-04,2027-12-03,1,2022-06-03,9999-12-31
180,180,100180,NC296152,NC,BP8188311,ABIM - Cardiovascular Disease,2027-01-27,2028-09-01,2035-01-29,1,2008-06-06,9999-12-31
181,181,100181,AZ715063,AZ,GJ9416159,American Board of Emergency Medicine,2029-02-17,2028-01-15,2033-04-17,1,2009-05-15,9999-12-31
182,182,100182,TX975465,TX,UG5409688,American Board of Internal Medicine,2028-04-06,2026-10-06,2027-07-24,1,2014-01-11,9999-12-31
183,183,100183,NC692498,NC,GA5171818,ABIM - Pulmonary Disease,2027-04-18,2026-11-09,2029-06-18,1,2021-08-15,9999-12-31
184,184,100184,WA574611,WA,XM2354594,American Board of Radiology,2028-05-07,2029-02-19,2034-04-13,1,2020-02-27,9999-12-31
185,185,100185,IL310570,IL,GP6533798,ABIM - Cardiovascular Disease,2028-08-17,2028-08-29,2028-04-28,1,2017-09-11,9999-12-31
186,186,100186,GA816115,GA,SW7130747,American Board of Radiology,2026-09-13,2027-06-18,2035-09-08,1,2011-04-21,9999-12-31
187,187,100187,IL384095,IL,RK6460576,American Board of Internal Medicine,2026-09-04,2029-04-26,2029-11-02,1,2006-04-08,9999-12-31
188,188,100188,NY782651,NY,UW5270234,AANP Certification,2027-02-01,2026-10-12,2029-07-03,1,2015-02-22,9999-12-31
189,189,100189,IL908884,IL,FW6852869,American Board of Dermatology,2027-09-17,2026-11-24,2029-06-24,1,2013-10-05,9999-12-31
190,190,100190,CO910489,CO,XD5093340,American Board of Anesthesiology,2027-10-12,2027-06-12,2028-09-17,1,2009-12-07,9999-12-31
191,191,100191,NY647771,NY,GC5456557,American Board of Family Medicine,2027-10-13,2028-07-22,2029-04-29,1,2018-01-27,9999-12-31
192,192,100192,AZ335366,AZ,FG2491657,American Board of Orthopaedic Surgery,2027-06-20,2026-11-23,2035-07-05,1,2016-04-22,9999-12-31
193,193,100193,CA675353,CA,UN5015391,American Board of Orthopaedic Surgery,2028-07-17,2028-03-20,2031-07-06,1,2019-10-07,9999-12-31
194,194,100194,AZ409237,AZ,AO3139552,AANP Certification,2028-07-08,2026-09-25,2032-01-14,1,2008-04-08,9999-12-31
195,195,100195,CO494458,CO,TA4064184,ABIM - Cardiovascular Disease,2026-11-07,2029-06-18,2028-06-24,1,2017-08-19,9999-12-31
