PROV_ID,PROV_NAME,PROV_TYPE_C,SPECIALTY,NPI,ACTIVE_STATUS
SER200044,"Brody Reynolds, PA",3,Emergency Medicine,1847631548,Active
SER200045,"Quinn Cooper, MD",1,Dermatology,1399044855,Active
SER200046,"Dorothy Dunn, MD",1,Internal Medicine,1349517751,Active
SER200047,"James Wilson, NP",2,Dermatology,1280060990,Active
SER200048,"Amber Payne, MD",1,Oncology,1229042503,Active
SER200049,"Jonah Adams, MD",4,Endocrinology,1005982386,Active
SER200050,"Reagan Rice, MD",1,Oncology,1690161527,Active
SER200051,"Dana Dominguez, MD",1,Oncology,1314819133,Active
SER200052,"Victoria Gardner, MD",4,Internal Medicine,1031628297,Active
SER200053,"Gavin Howard, NP",2,General Surgery,1099677443,Active
SER200054,"Rosa Maldonado, MD",1,Radiology,1807951720,Active
SER200055,"Blake Burns, MD",1,General Surgery,1558193629,Active
SER200056,"Jace Rios, MD",4,Cardiology,1360232157,Active
SER200057,"Virginia Contreras, MD",1,Emergency Medicine,1508689512,Active
SER200058,"Lydia Lane, MD",1,Dermatology,1424022052,Active
SER200059,"Arianna George, MD",1,Anesthesiology,1645504625,Active
SER200060,"Stephanie Perkins, NP",2,General Surgery,1418452694,Active
SER200061,"Autumn Jackson, MD",1,Orthopedics,1335367140,Active
SER200062,"Gage Rivera, MD",1,Cardiology,1862151849,Active
SER200063,"Abigail Rodriguez, MD",1,Neurology,1422089851,Active
SER200064,"Carol Allen, MD",1,Anesthesiology,1253436772,Active
SER200065,"Walter Hughes, MD",1,Pediatrics,1751725204,Active
SER200066,"Arthur Hale, MD",4,Emergency Medicine,1347761513,Active
SER200067,"Joe Boyd, MD",1,Internal Medicine,1842504004,Active
SER200068,"Ava Collins, MD",1,Psychiatry,1599666727,Active
SER200069,"Audrey Willis, PA",3,Family Medicine,1636263949,Active
SER200070,"Eugene Sanders, MD",1,Obstetrics & Gynecology,1120744770,Active
SER200071,"Oscar Smith, MD",1,Orthopedics,1790582851,Active
SER200072,"Savannah French, MD",1,Cardiology,1002053273,Active
SER200073,"Tammy Reed, MD",1,Pediatrics,1245250459,Active
SER200074,"Ashley Tucker, MD",1,Psychiatry,1829864603,Active
SER200075,"Calvin James, MD",1,General Surgery,1179012971,Active
SER200076,"Colton Gonzalez, MD",1,General Surgery,1665832253,Active
SER200077,"Ralph Cruz, MD",1,Cardiology,1370941845,Active
SER200078,"Jean Garcia, MD",4,Radiology,1630040773,Active
SER200079,"Nathan Ortega, MD",1,Dermatology,1391045283,Active
SER200080,"Ruby Stephens, PA",3,Endocrinology,1580753156,Active
